Date,Open,High,Low,Close,Adj Close,Volume
2004-03-01,2.151000022888184,2.174000024795532,2.128999948501587,2.1484999656677246,2.1484999656677246,99190000.0
2004-03-02,2.1364998817443848,2.174499988555908,2.0929999351501465,2.1005001068115234,2.1005001068115234,139332000.0
2004-03-03,2.0929999351501465,2.1689999103546143,2.0824999809265137,2.158499956130981,2.158499956130981,192032000.0
2004-03-04,2.1559998989105225,2.2235000133514404,2.1549999713897705,2.219500064849853,2.219500064849853,147602000.0
2004-03-05,2.189500093460083,2.241499900817871,2.176500082015991,2.2044999599456787,2.2044999599456787,128530000.0
2004-03-06,2.192333380381266,2.245333274205526,2.1698334217071533,2.194666624069214,2.194666624069214,129743333.33333333
2004-03-07,2.1951666673024497,2.24916664759318,2.163166761398315,2.184833288192749,2.184833288192749,130956666.66666667
2004-03-08,2.197999954223633,2.253000020980835,2.156500101089477,2.174999952316284,2.174999952316284,132170000.0
2004-03-09,2.1710000038146973,2.194499969482422,2.1135001182556152,2.135499954223633,2.135499954223633,131862000.0
2004-03-10,2.135999917984009,2.1600000858306885,2.072999954223633,2.077500104904175,2.077500104904175,138654000.0
2004-03-11,2.054500102996826,2.118499994277954,2.052000045776367,2.063999891281128,2.063999891281128,140852000.0
2004-03-12,2.067500114440918,2.130500078201294,2.065000057220459,2.121999979019165,2.121999979019165,124476000.0
2004-03-13,2.0826667149861655,2.133666753768921,2.058666706085205,2.0993332862854004,2.0993332862854004,127065333.33333333
2004-03-14,2.0978333155314126,2.136833429336548,2.052333354949951,2.0766665935516357,2.0766665935516357,129654666.66666667
2004-03-15,2.11299991607666,2.140000104904175,2.0460000038146973,2.053999900817871,2.053999900817871,132244000.0
2004-03-16,2.064500093460083,2.118000030517578,2.062999963760376,2.1064999103546143,2.1064999103546143,124364000.0
2004-03-17,2.1519999504089355,2.172499895095825,2.129499912261963,2.140000104904175,2.140000104904175,102146000.0
2004-03-18,2.126499891281128,2.1600000858306885,2.1105000972747803,2.150500059127808,2.150500059127808,114486000.0
2004-03-19,2.15149998664856,2.1875,2.131500005722046,2.140000104904175,2.140000104904175,115098000.0
2004-03-20,2.1301666895548506,2.1558333237965903,2.0961666901906333,2.1075000762939453,2.1075000762939453,136566000.0
2004-03-21,2.1088333924611415,2.12416664759318,2.0608333746592207,2.075000047683716,2.075000047683716,158034000.0
2004-03-22,2.087500095367432,2.0924999713897705,2.025500059127808,2.0425000190734863,2.0425000190734863,179502000.0
2004-03-23,2.065999984741211,2.086999893188477,1.9924999475479128,2.0114998817443848,2.0114998817443848,224514000.0
2004-03-24,2.015500068664551,2.0190000534057617,1.9574999809265137,1.981500029563904,1.981500029563904,157518000.0
2004-03-25,2.0,2.109999895095825,2.0,2.0994999408721924,2.0994999408721924,142254000.0
2004-03-26,2.1005001068115234,2.124500036239624,2.064500093460083,2.0850000381469727,2.0850000381469727,114808000.0
2004-03-27,2.0998334089914956,2.129666725794474,2.0758334000905356,2.102666695912679,2.102666695912679,113612000.0
2004-03-28,2.0991667111714682,2.1348334153493247,2.087166706720988,2.1203333536783853,2.1203333536783853,112416000.0
2004-03-29,2.0985000133514404,2.140000104904175,2.0985000133514404,2.138000011444092,2.138000011444092,111220000.0
